date,month,n,prop
1,January,558,1.347784
1,february,787,1.2687437
1,March,42,1.2756633
1,April,326,1.248225
1,May,221,1.24686
1,June,20000,1.2326272
1,July,3322,1.23E+00
1,August,544,1.22E+00
2,January,6343,1.226764
2,february,242,1.2783888
2,March,3333,1.22962
2,April,222,1.2286374
2,May,7777,1.24758
2,June,25000,1.238272
2,August,555,1.23E+00
2,July,544,1.23E+00
3,January,577,1.33854
3,february,278,1.2756373
3,March,581,1.227878
3,April,23423,1.2273723
3,May,34234,1.242465
3,June,30000,1.24422
3,August,233,1.23E+00
3,July,34234,1.22E+00
4,January,631,1.324271
4,february,388,1.226472
4,March,57,1.225235
4,April,247,1.2987857
4,May,24323,1.242352
4,June,42323,1.23838
4,August,34232,1.23E+00
4,July,2342,1.23E+00
5,January,6488,1.32958
5,february,3477,1.2988
5,March,78,1.224867
5,April,25,1.226341
5,June,35000,1.252432
5,May,3222,1.2445372
5,August,3343,1.23E+00
5,July,2342,1.23E+00
6,January,682,1.328285
6,february,347,1.2276328
6,March,88,1.226539
6,April,32,1.224647
6,June,30000,1.242486
6,May,26,1.24428
6,August,2344,1.23E+00
6,July,43243,1.23E+00
7,January,786,1.3285261
7,february,4326,1.2382641
7,March,865,1.22757
7,April,261,1.29263
7,June,20000,1.26283
7,May,4444,1.24365
7,August,24324,1.23E+00
7,July,442,1.23E+00
8,January,7571,1.3246855
8,february,477,1.24726
8,March,29,1.232686
8,April,285,1.294463
8,June,15000,1.262454
8,May,32434,1.243282
8,August,42342,1.23E+00
8,July,434,1.23E+00
9,January,8431,1.338454
9,february,574,1.26956
9,March,228,1.23975
9,April,4242,1.283335
9,June,18000,1.2678225
9,May,2422,1.236238
9,August,43432,1.23E+00
9,July,4342,1.22E+00
10,January,251,1.353278
10,february,6253,1.2697324
10,March,282,1.224535
10,April,43242,1.283628
10,June,12000,1.273294
10,May,2342,1.238525
10,August,4442,1.23E+00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
